dataset_name	hyperparameter_setting	n_training	n_testing	training_log_loss	training_auc	training_auc_ci	training_bac	training_bac_ci	training_f1	training_f1_ci	testing_log_loss	testing_auc	testing_auc_ci	testing_bac	testing_bac_ci	testing_f1	testing_f1_ci
tox21-car-agonist-p1	ne_100_md_10_lr_1e-1_ss_0.8_mw_1	5484	1372	0.07698	0.99706	0.00078	0.95282	0.00867	0.92873	0.01147	0.26991	0.88107	0.01902	0.70402	0.02933	0.53061	0.05382
tox21-car-antagonist-p1	ne_100_md_10_lr_1e-1_ss_1_mw_1	4278	1070	0.02073	0.99956	0.00036	0.91923	0.0242	0.91213	0.02864	0.11646	0.78689	0.07129	0.58946	0.04825	0.28571	0.13282
tox21-casp3-cho-p1	ne_100_md_10_lr_1e-1_ss_1_mw_1	5917	1480	0.02024	0.99843	0.00101	0.91362	0.02334	0.89888	0.02902	0.10466	0.77102	0.06979	0.55348	0.03777	0.17391	0.10567
tox21-casp3-hepg2-p1	ne_100_md_10_lr_1e-1_ss_1_mw_1	5839	1460	0.03399	0.99895	0.00044	0.9414	0.01329	0.92593	0.01603	0.17098	0.85097	0.03404	0.59786	0.03412	0.29907	0.08919
tox21-elg1-luc-agonist-p1	ne_100_md_10_lr_1e-1_ss_0.9_mw_1	6039	1510	0.0253	0.99928	4e-04	0.91054	0.02069	0.89694	0.02485	0.12009	0.83224	0.04461	0.56972	0.03875	0.22951	0.11261
tox21-er-bla-agonist-p2	ne_100_md_10_lr_1e-1_ss_0.9_mw_1	5975	1494	0.03751	0.99862	0.00046	0.92373	0.01597	0.90452	0.01905	0.16161	0.82878	0.04496	0.65377	0.04004	0.44643	0.09173
tox21-er-bla-antagonist-p1	ne_100_md_10_lr_1e-1_ss_1_mw_1	5267	1317	0.03057	0.99953	0.00022	0.94434	0.01412	0.93609	0.01641	0.17683	0.8497	0.0337	0.58604	0.03293	0.26	0.08302
tox21-er-luc-bg1-4e2-agonist-p2	ne_100_md_10_lr_1e-1_ss_0.9_mw_1	5184	1297	0.08413	0.99561	0.00117	0.90556	0.01222	0.8876	0.01563	0.30813	0.73633	0.03717	0.62472	0.02913	0.38342	0.07068
tox21-er-luc-bg1-4e2-agonist-p4	ne_100_md_10_lr_1e-1_ss_1_mw_1	5845	1462	0.01076	0.99936	0.00035	0.92492	0.02548	0.88398	0.03728	0.03547	0.95491	0.0314	0.79028	0.07647	0.66667	0.13043
tox21-er-luc-bg1-4e2-antagonist-p1	ne_100_md_10_lr_1e-1_ss_0.9_mw_1	5390	1348	0.02699	0.9996	0.00019	0.96332	0.01099	0.96029	0.01241	0.1663	0.8611	0.03434	0.60798	0.03957	0.33333	0.09836
tox21-er-luc-bg1-4e2-antagonist-p2	ne_100_md_10_lr_1e-1_ss_1_mw_1	5238	1310	0.03415	0.99938	0.00029	0.95529	0.01122	0.94692	0.01303	0.17384	0.88678	0.03045	0.66093	0.03755	0.44776	0.07955
tox21-erb-bla-antagonist-p1	ne_100_md_10_lr_1e-1_ss_1_mw_1	5000	1250	0.04322	0.99907	0.00048	0.94423	0.01253	0.93855	0.01404	0.18951	0.88271	0.02789	0.60836	0.03352	0.34711	0.08988
tox21-erb-bla-p1	ne_100_md_10_lr_1e-1_ss_1_mw_1	5768	1442	0.01182	0.99933	0.00038	0.89608	0.03604	0.86667	0.04771	0.04128	0.94669	0.03636	0.67359	0.08944	0.45161	0.1875
tox21-esre-bla-p1	ne_100_md_10_lr_1e-1_ss_1_mw_1	5286	1322	0.01571	0.99948	0.00027	0.87902	0.03365	0.85714	0.04341	0.07808	0.79801	0.08291	0.52135	0.02304	0.08	0.08333
tox21-fxr-bla-agonist-p2	ne_100_md_10_lr_1e-1_ss_1_mw_1	5487	1372	0.01435	0.9996	0.00023	0.89884	0.03095	0.88235	0.03968	0.07616	0.81434	0.08229	0.5413	0.04167	0.14815	0.13333
tox21-fxr-bla-antagonist-p1	ne_100_md_10_lr_1e-1_ss_1_mw_1	5003	1251	0.0211	0.99956	0.00027	0.94105	0.01845	0.92857	0.02171	0.11093	0.85865	0.04514	0.59959	0.04876	0.32653	0.1349
tox21-gh3-tre-agonist-p1	ne_100_md_10_lr_1e-1_ss_1_mw_1	5828	1458	0.0066	0.99922	0.00079	0.82812	0.06842	0.79245	0.09962	0.02634	0.7481	0.2331	0.625	0.125	0.4	0.33333
tox21-gh3-tre-antagonist-p1	ne_100_md_10_lr_1e-1_ss_0.9_mw_1	4662	1166	0.03362	0.99912	0.00065	0.95145	0.01291	0.94553	0.01532	0.20154	0.81287	0.03581	0.56261	0.03209	0.2093	0.09154
tox21-gr-hela-bla-agonist-p1	ne_100_md_10_lr_1e-1_ss_1_mw_1	5764	1441	0.01324	0.99975	0.00014	0.94765	0.01913	0.93478	0.02325	0.10045	0.78399	0.06954	0.66524	0.05926	0.46154	0.12818
tox21-gr-hela-bla-antagonist-p1	ne_100_md_10_lr_1e-1_ss_0.9_mw_1	5101	1276	0.03145	0.99947	0.00025	0.94025	0.01453	0.93161	0.01621	0.15612	0.86407	0.03654	0.66445	0.04465	0.45283	0.09683
tox21-h2ax-cho-p2	ne_100_md_10_lr_1e-1_ss_0.9_mw_1	5660	1415	0.046	0.9979	0.00081	0.92188	0.01387	0.90291	0.018	0.18196	0.83059	0.03646	0.56182	0.02797	0.20561	0.07692
tox21-hdac-p1	ne_100_md_10_lr_1e-1_ss_0.9_mw_1	5864	1466	0.03116	0.99901	0.00036	0.91419	0.01821	0.8967	0.02215	0.11654	0.91063	0.02648	0.62654	0.04211	0.37647	0.10104
tox21-hre-bla-agonist-p1	ne_100_md_10_lr_1e-1_ss_1_mw_1	5638	1410	0.00906	0.99964	0.00026	0.80952	0.05769	0.76471	0.08889	0.03723	0.88856	0.07768	0.5	0	0	0
tox21-hse-bla-p1	ne_100_md_10_lr_1e-1_ss_0.9_mw_1	5312	1328	0.05244	0.99715	0.00118	0.88507	0.01773	0.86201	0.024	0.17752	0.82349	0.03893	0.63174	0.03742	0.4	0.09
tox21-mitotox-p1	ne_100_md_10_lr_1e-1_ss_0.9_mw_1	5183	1296	0.07751	0.99796	0.00081	0.96599	0.00601	0.95587	0.00736	0.30342	0.89843	0.01528	0.74318	0.02302	0.62626	0.04255
tox21-nfkb-bla-agonist-p1	ne_100_md_9_lr_1e-1_ss_1_mw_1	5510	1378	0.00827	0.99955	0.00033	0.82051	0.05905	0.78125	0.08807	0.04449	0.71912	0.12203	0.5	0	0	0
tox21-p53-bla-p1	ne_100_md_10_lr_1e-1_ss_0.9_mw_1	5796	1449	0.04352	0.99916	0.00034	0.93173	0.01292	0.9255	0.01486	0.17988	0.8711	0.02825	0.60195	0.03433	0.31746	0.0875
tox21-ppard-bla-agonist-p1	ne_100_md_10_lr_1e-1_ss_1_mw_1	5238	1310	0.01461	0.99928	0.00037	0.88681	0.03596	0.86667	0.04538	0.07622	0.77825	0.09763	0.52342	0.02531	0.08696	0.09091
tox21-ppard-bla-antagonist-p1	ne_100_md_10_lr_1e-1_ss_1_mw_1	5062	1266	0.00989	0.99986	0.00013	0.92424	0.03404	0.91803	0.0399	0.0531	0.8557	0.07899	0.59295	0.08334	0.28571	0.23077
tox21-pparg-bla-agonist-p1	ne_100_md_10_lr_1e-1_ss_1_mw_1	5552	1389	0.02425	0.99956	0.00022	0.90101	0.02143	0.88754	0.02745	0.11971	0.83595	0.05389	0.58628	0.04093	0.26667	0.10729
tox21-pparg-bla-antagonist-p1	ne_100_md_10_lr_1e-1_ss_1_mw_1	4886	1222	0.03758	0.99891	0.00048	0.93385	0.0154	0.92105	0.01933	0.17827	0.81625	0.04233	0.59826	0.03617	0.31818	0.09844
tox21-pr-bla-agonist-p1	ne_100_md_9_lr_1e-1_ss_1_mw_1	5899	1475	0.01013	0.99907	0.00062	0.88804	0.03052	0.85882	0.04099	0.03074	0.95384	0.04009	0.85279	0.07517	0.75556	0.12088
tox21-pr-bla-antagonist-p1	ne_100_md_10_lr_1e-1_ss_1_mw_1	5140	1286	0.05528	0.99909	0.00026	0.96461	0.00736	0.95518	0.00877	0.28334	0.88493	0.01921	0.69555	0.03008	0.51079	0.05579
tox21-pxr-p1	ne_100_md_10_lr_1e-1_ss_0.9_mw_1	5220	1306	0.10316	0.99681	0.00084	0.96026	0.00529	0.94845	0.00685	0.35914	0.88878	0.01553	0.77618	0.02192	0.67097	0.03418
tox21-rar-agonist-p1	ne_100_md_10_lr_1e-1_ss_0.9_mw_1	4994	1249	0.05213	0.99801	0.00068	0.91572	0.01477	0.89426	0.0186	0.17921	0.8809	0.03206	0.64046	0.03739	0.40625	0.08554
tox21-rar-antagonist-p2	ne_100_md_10_lr_1e-1_ss_0.9_mw_1	4428	1107	0.05541	0.9989	0.00044	0.95172	0.01098	0.94242	0.01293	0.27015	0.83546	0.02997	0.58556	0.02767	0.28	0.07314
tox21-ror-cho-antagonist-p1	ne_100_md_10_lr_1e-1_ss_0.9_mw_1	4327	1082	0.04641	0.99803	0.00126	0.95898	0.00951	0.94845	0.01167	0.24267	0.87486	0.02645	0.6138	0.03445	0.34014	0.07899
tox21-rt-viability-hek293-p1	ne_100_md_10_lr_1e-1_ss_0.9_mw_1	6018	1505	0.15163	0.99062	0.00153	0.91666	0.00755	0.89907	0.00941	0.45036	0.78942	0.02137	0.65312	0.01876	0.46667	0.03667
tox21-rt-viability-hepg2-p1	ne_100_md_10_lr_1e-1_ss_0.9_mw_1	6020	1506	0.1106	0.99407	0.00122	0.90604	0.00969	0.88623	0.01176	0.3735	0.77971	0.02646	0.6178	0.02287	0.36795	0.05089
tox21-rxr-bla-agonist-p1	ne_100_md_10_lr_1e-1_ss_1_mw_1	4738	1185	0.04039	0.99584	0.00173	0.78146	0.0309	0.72034	0.05041	0.13492	0.68304	0.07653	0.56448	0.04222	0.21739	0.12963
tox21-sbe-bla-antagonist-p1	ne_100_md_10_lr_1e-1_ss_0.9_mw_1	5504	1376	0.03691	0.9995	0.00022	0.9451	0.01268	0.93519	0.01526	0.19098	0.85357	0.03139	0.61695	0.03668	0.34146	0.08553
tox21-shh-3t3-gli3-agonist-p1	ne_100_md_10_lr_1e-1_ss_1_mw_1	5708	1428	0.00719	0.99948	0.00052	0.86111	0.06033	0.83871	0.08108	0.03735	0.75417	0.17446	0.55485	0.06279	0.16667	0.16667
tox21-shh-3t3-gli3-antagonist-p1	ne_100_md_10_lr_1e-1_ss_0.9_mw_1	4551	1138	0.07497	0.99713	0.00127	0.96177	0.00717	0.95291	0.00861	0.30511	0.88251	0.01917	0.70116	0.02739	0.53595	0.04854
tox21-tshr-agonist-p1	ne_100_md_10_lr_1e-1_ss_1_mw_1	5601	1401	0.0293	0.9983	0.00119	0.93319	0.01581	0.92275	0.01935	0.13646	0.86313	0.03648	0.6418	0.0436	0.40449	0.09906
tox21-tshr-antagonist-p1	ne_100_md_10_lr_1e-1_ss_1_mw_1	5722	1431	0.02626	0.99936	0.00032	0.92611	0.01818	0.91099	0.0212	0.12215	0.84908	0.04656	0.58461	0.04277	0.25714	0.1096
tox21-tshr-wt-p1	ne_100_md_10_lr_1e-1_ss_1_mw_1	5977	1495	0.00425	0.9999	1e-04	0.89062	0.05833	0.87719	0.07368	0.01382	0.97806	0.02367	0.625	0.125	0.4	0.33333
tox21-vdr-bla-antagonist-p1	ne_100_md_10_lr_1e-1_ss_1_mw_1	4945	1237	0.00688	0.99998	3e-05	0.95	0.03199	0.94737	0.03539	0.05687	0.83252	0.0693	0.53764	0.04201	0.125	0.125
